aX,aY,aZ,gX,gY,gZ
-0.605,-1.117,0.465,90.942,-32.227,71.472
-0.787,-1.114,0.506,103.577,-28.015,62.195
-0.953,-1.111,0.511,115.540,-22.461,50.049
-1.100,-1.083,0.498,125.244,-17.395,35.950
-1.218,-1.044,0.478,134.277,-12.390,19.287
-1.271,-0.992,0.437,144.165,-11.414,2.747
-1.284,-0.933,0.383,152.527,-20.569,-10.132
-1.273,-0.843,0.390,159.424,-38.452,-17.151
-1.281,-0.732,0.428,161.072,-54.504,-17.456
-1.286,-0.625,0.452,164.368,-61.401,-18.311
-1.214,-0.521,0.454,173.523,-58.716,-25.574
-1.071,-0.379,0.495,187.073,-50.659,-37.903
-0.934,-0.185,0.588,198.853,-42.175,-51.697
-0.781,0.022,0.752,203.857,-32.471,-63.293
-0.663,0.345,0.934,200.989,-19.226,-71.533
-0.646,0.701,1.095,193.115,-5.798,-78.613
-0.657,0.976,1.172,181.580,10.986,-85.632
-0.590,1.155,1.199,168.945,29.846,-93.384
-0.452,1.307,1.270,161.682,40.649,-96.802
-0.397,1.519,1.452,155.273,36.011,-91.492
-0.437,1.797,1.706,146.057,26.306,-81.787
-0.521,2.085,1.984,131.531,20.447,-74.463
-0.589,2.390,2.188,112.427,20.264,-73.303
-0.610,2.595,2.284,91.187,24.353,-77.454
-0.533,2.708,2.290,68.115,33.386,-89.905
-0.494,2.779,2.149,43.945,28.625,-73.730
-0.404,2.765,2.035,10.559,13.611,-58.350
-0.327,2.735,1.936,-10.620,4.333,-54.871
-0.301,2.681,1.783,-28.748,5.615,-50.964
-0.235,2.544,1.627,-52.063,16.602,-49.438
-0.128,2.357,1.471,-72.388,28.381,-46.997
-0.118,2.189,1.356,-89.600,30.518,-38.452
-0.005,2.036,1.248,-109.619,29.175,-25.757
0.109,1.830,1.167,-127.014,26.611,-12.451
0.226,1.657,1.085,-143.738,24.841,4.150
0.335,1.456,0.972,-161.072,26.306,19.653
0.450,1.202,0.831,-176.086,33.875,35.706
0.565,0.958,0.695,-190.552,45.349,52.917
0.603,0.748,0.582,-201.477,57.434,70.129
0.592,0.534,0.462,-205.444,72.021,84.595
0.570,0.306,0.336,-204.773,88.745,98.816
0.498,0.055,0.209,-202.393,103.027,114.868
0.369,-0.156,0.083,-197.388,112.610,134.583
0.215,-0.305,-0.005,-188.110,116.577,153.687
0.030,-0.455,-0.058,-176.575,114.685,167.725
-0.195,-0.574,-0.073,-161.194,105.835,179.749
-0.490,-0.657,-0.078,-146.484,95.093,192.078
-0.775,-0.736,-0.068,-132.141,86.914,200.439
-1.041,-0.816,-0.057,-119.446,81.848,202.637
-1.196,-0.796,-0.033,-113.892,84.900,199.890
-1.365,-0.871,-0.030,-104.370,91.309,192.383
-1.585,-0.962,-0.056,-89.966,98.450,176.575
-1.853,-1.048,-0.099,-70.984,104.065,157.715
-2.109,-1.121,-0.112,-50.293,101.257,141.907
-2.323,-1.169,-0.096,-30.884,86.914,131.836
-2.551,-1.212,-0.047,-11.963,58.716,127.197
-2.842,-1.205,0.038,2.869,21.912,124.268
-3.144,-1.158,0.128,12.329,-12.268,118.469
-3.409,-1.152,0.179,20.752,-38.391,104.858
-3.660,-1.164,0.189,27.344,-57.861,81.787
-3.861,-1.167,0.159,34.058,-74.341,50.110
-4.000,-1.213,0.092,42.847,-90.881,16.846
-4.000,-1.179,0.052,52.368,-107.788,-20.020
-3.835,-1.137,0.012,62.256,-121.094,-55.481
-3.567,-1.186,-0.015,74.402,-129.822,-84.229
-3.279,-1.199,0.010,88.013,-138.184,-112.732
-2.975,-1.124,0.113,101.440,-142.883,-148.437
-2.724,-1.014,0.264,116.943,-146.057,-181.213
-2.430,-0.956,0.428,125.122,-143.860,-210.754
-2.084,-0.904,0.599,131.348,-136.108,-239.746
-1.755,-0.820,0.761,131.836,-129.761,-263.611
-1.288,-0.796,0.848,126.282,-122.009,-278.931
-0.754,-0.835,0.902,124.634,-123.718,-285.278
-0.121,-0.805,0.938,129.578,-136.658,-277.405
0.525,-0.674,1.069,137.573,-162.598,-248.718
1.014,-0.376,1.336,138.184,-191.833,-200.439
1.343,-0.073,1.577,125.122,-203.308,-148.010
1.450,0.255,1.832,115.173,-194.458,-115.601
1.387,0.638,1.970,108.582,-162.598,-107.910
1.444,0.935,1.943,105.591,-114.136,-118.774
1.625,1.068,1.825,103.821,-70.618,-126.465
1.747,1.128,1.634,95.825,-45.410,-115.723
1.736,1.208,1.490,86.853,-37.292,-89.722
1.577,1.298,1.455,79.712,-36.987,-59.631
1.074,1.411,1.480,55.359,-19.958,-11.658
0.796,1.375,1.391,37.048,2.136,-5.737
0.625,1.238,1.224,21.790,34.241,-15.137
0.511,1.075,1.033,12.207,67.871,-25.391
0.376,0.924,0.876,7.507,87.952,-26.978
0.219,0.801,0.773,6.409,92.712,-19.836
0.015,0.724,0.750,3.906,86.975,-5.554
-0.186,0.709,0.774,-3.601,75.928,10.681
-0.310,0.705,0.820,-11.658,63.721,24.414
-0.384,0.679,0.869,-20.203,53.284,35.156
-0.369,0.653,0.876,-35.889,50.598,41.870
-0.313,0.598,0.873,-51.575,54.077,43.335
-0.260,0.560,0.845,-63.110,63.477,41.504
-0.227,0.495,0.790,-66.467,79.041,36.194
-0.200,0.428,0.754,-67.322,97.961,30.334
-0.224,0.355,0.732,-70.801,116.089,23.621
-0.286,0.345,0.693,-73.303,127.808,11.475
-0.348,0.398,0.657,-69.824,135.559,-2.808
-0.406,0.427,0.592,-64.575,142.944,-14.282
-0.465,0.430,0.469,-64.209,149.109,-19.470
-0.538,0.402,0.321,-68.054,149.109,-19.226
-0.612,0.387,0.169,-68.787,140.808,-17.395
-0.659,0.411,0.048,-65.613,124.573,-14.709
-0.690,0.458,-0.046,-61.584,102.966,-8.545
-0.710,0.490,-0.090,-57.556,81.238,1.282
-0.749,0.497,-0.088,-56.519,63.354,12.939
-0.866,0.556,-0.061,-57.922,47.974,20.020
-0.980,0.624,-0.054,-54.993,39.368,19.409
-1.044,0.663,-0.039,-49.805,38.086,14.526
-1.076,0.701,-0.016,-49.255,39.917,9.827
-1.146,0.734,-0.003,-52.185,43.640,5.920
-1.232,0.729,-0.036,-53.589,50.537,0.732
-1.289,0.709,-0.097,-52.307,57.739,-6.042
-1.315,0.706,-0.156,-48.462,60.364,-13.428
-1.306,0.722,-0.195,-44.189,56.946,-18.433
-1.251,0.745,-0.210,-38.879,48.767,-18.677
-1.208,0.765,-0.178,-31.555,36.011,-12.146
-1.164,0.794,-0.149,-27.466,24.536,-4.089
-1.153,0.796,-0.125,-22.644,14.038,1.526
-1.156,0.789,-0.099,-17.822,5.493,6.226
-1.198,0.786,-0.067,-13.733,-2.563,10.681
-1.221,0.788,-0.045,-9.460,-11.719,13.611
-1.223,0.785,-0.023,-4.150,-21.667,14.832
-1.190,0.786,0.007,-0.244,-29.785,14.404
-1.138,0.798,0.049,1.526,-33.813,12.268
