aX,aY,aZ,gX,gY,gZ
0.457,0.859,0.348,21.423,-67.688,-35.706
0.304,0.875,0.386,21.545,-49.316,-28.809
0.149,0.854,0.414,18.005,-28.870,-28.503
0.047,0.870,0.464,16.602,-12.756,-33.447
0.030,0.872,0.462,15.198,-4.272,-38.330
0.068,0.845,0.427,11.658,-2.563,-37.964
0.061,0.814,0.386,7.935,-5.920,-29.663
0.012,0.829,0.339,4.822,-11.169,-16.602
-0.038,0.852,0.322,1.953,-17.151,-4.089
-0.083,0.855,0.317,-0.244,-21.240,4.761
-0.135,0.859,0.326,-0.916,-19.958,10.193
-0.230,0.868,0.315,-1.160,-14.709,13.000
-0.297,0.866,0.295,-1.282,-9.033,10.681
-0.316,0.863,0.300,-0.061,-4.272,5.676
-0.329,0.862,0.318,0.427,1.709,1.709
-0.360,0.853,0.310,-0.305,9.460,-1.343
-0.403,0.840,0.284,-0.671,16.113,-4.395
-0.403,0.834,0.285,-0.061,16.968,-7.080
-0.400,0.839,0.300,-0.183,11.047,-6.287
-0.400,0.848,0.306,-1.099,5.005,-3.052
-0.385,0.854,0.303,-1.526,1.648,-0.732
-0.372,0.848,0.298,-0.977,0.732,0.244
-0.372,0.835,0.279,-0.305,1.953,1.160
-0.377,0.826,0.264,0.488,3.235,2.075
-0.375,0.831,0.273,1.953,3.784,2.869
-0.379,0.843,0.310,3.723,4.456,3.418
-0.393,0.860,0.346,4.578,6.897,3.479
-0.428,0.853,0.351,4.761,10.986,2.258
-0.456,0.831,0.351,4.395,13.733,0.061
-0.477,0.818,0.350,4.089,12.146,-1.831
-0.476,0.823,0.353,5.005,5.859,-2.686
-0.443,0.834,0.372,6.104,-2.625,-2.319
-0.410,0.840,0.395,5.432,-8.362,-0.427
-0.393,0.854,0.400,3.967,-9.338,1.160
-0.397,0.854,0.396,3.296,-7.080,1.160
-0.396,0.845,0.386,2.441,-5.005,0.916
-0.378,0.838,0.383,0.793,-3.723,1.587
-0.357,0.847,0.389,-0.366,-1.953,2.563
-0.353,0.863,0.402,-0.610,1.160,2.380
-0.358,0.857,0.400,-0.793,6.653,1.648
-0.367,0.844,0.371,-1.770,12.451,1.404
-0.414,0.814,0.344,-2.075,15.015,1.587
-0.476,0.802,0.329,-0.305,11.597,2.197
-0.491,0.820,0.353,2.197,1.160,3.479
-0.466,0.850,0.391,2.502,-11.169,6.775
-0.430,0.868,0.414,0.244,-18.677,8.789
-0.406,0.873,0.415,-1.282,-17.334,6.653
-0.381,0.862,0.393,-1.770,-8.850,1.953
-0.357,0.844,0.369,-2.502,0.488,-1.892
-0.367,0.848,0.357,-3.540,7.019,-3.174
-0.375,0.849,0.358,-4.272,10.071,-3.784
-0.355,0.842,0.360,-4.456,12.024,-4.578
-0.335,0.837,0.361,-4.028,13.123,-4.578
-0.331,0.828,0.350,-3.784,13.611,-3.540
-0.340,0.809,0.322,-2.441,12.207,-1.892
-0.345,0.815,0.311,-0.305,6.470,1.221
-0.352,0.821,0.333,1.160,-2.197,6.226
-0.353,0.845,0.366,0.732,-8.545,10.315
-0.361,0.867,0.398,0.610,-9.216,11.108
-0.372,0.868,0.406,0.000,-5.249,9.033
