aX,aY,aZ,gX,gY,gZ
-0.273,0.920,-0.144,7.263,12.512,5.249
-0.299,0.963,-0.096,5.310,4.089,8.850
-0.339,0.981,-0.082,1.831,-0.793,11.475
-0.361,0.986,-0.104,-2.808,-0.549,12.878
-0.378,0.977,-0.134,-6.958,1.587,13.000
-0.392,0.958,-0.163,-8.850,5.310,10.742
-0.402,0.942,-0.180,-7.568,9.827,7.080
-0.403,0.940,-0.191,-5.615,13.733,4.456
-0.415,0.934,-0.194,-4.333,15.259,4.089
-0.433,0.926,-0.195,-3.601,15.381,4.883
-0.440,0.932,-0.194,-1.953,15.198,4.333
-0.448,0.933,-0.188,0.183,15.503,3.113
-0.471,0.927,-0.186,1.648,16.479,1.831
-0.476,0.936,-0.190,2.502,17.151,0.610
-0.469,0.932,-0.190,2.991,14.954,0.305
-0.472,0.924,-0.188,2.258,10.803,1.892
-0.492,0.930,-0.184,1.526,7.202,4.089
-0.507,0.945,-0.173,1.526,5.432,4.761
-0.519,0.930,-0.168,0.305,4.272,5.127
-0.517,0.928,-0.155,-0.732,2.930,5.127
-0.506,0.933,-0.138,-0.610,1.831,4.272
-0.493,0.929,-0.127,-0.183,2.563,2.502
-0.482,0.915,-0.124,0.244,5.188,-0.061
-0.464,0.915,-0.127,0.610,7.141,-2.502
-0.434,0.911,-0.121,0.488,6.592,-3.845
-0.415,0.897,-0.128,-0.427,5.249,-3.601
-0.406,0.898,-0.132,-2.197,4.761,-2.075
-0.408,0.888,-0.131,-2.075,5.371,-0.977
-0.427,0.878,-0.130,-0.916,6.592,-0.916
-0.442,0.885,-0.140,-0.732,6.836,-0.671
-0.438,0.890,-0.154,-1.831,3.723,1.099
-0.423,0.883,-0.153,-3.540,-0.854,3.113
-0.419,0.878,-0.145,-4.456,-3.601,4.211
-0.418,0.879,-0.145,-4.028,-2.380,3.845
0.330,1.795,1.096,92.407,-27.039,53.040
0.282,2.005,1.184,73.120,-20.691,62.134
0.335,2.179,1.256,56.641,-1.526,58.228
0.321,2.312,1.263,43.396,24.780,56.580
0.214,2.361,1.203,27.893,49.866,55.908
0.102,2.353,1.168,12.390,70.679,51.270
0.031,2.308,1.129,-2.380,88.806,45.898
-0.056,2.208,1.052,-19.470,104.553,45.715
-0.196,2.082,0.936,-38.818,115.967,50.903
-0.364,1.946,0.802,-58.105,120.667,59.204
-0.550,1.790,0.677,-76.721,119.080,67.993
-0.744,1.682,0.544,-93.079,113.770,76.050
-0.908,1.581,0.453,-106.995,106.812,79.895
-1.034,1.451,0.385,-118.591,101.440,79.041
-1.155,1.289,0.335,-126.892,98.999,75.623
-1.274,1.154,0.274,-130.859,99.426,70.984
-1.405,1.024,0.191,-130.432,100.952,65.369
-1.556,0.905,0.113,-128.967,99.609,61.035
-1.686,0.799,0.054,-128.357,93.689,59.631
-1.817,0.697,0.029,-128.845,86.182,61.707
-1.924,0.586,-0.024,-129.639,78.491,64.575
-1.969,0.506,-0.037,-127.258,67.688,64.941
-2.104,0.392,-0.016,-125.305,53.955,60.852
-2.099,0.327,-0.050,-121.643,50.842,51.697
-2.102,0.218,-0.065,-113.953,46.448,43.701
-2.178,0.118,-0.067,-108.887,40.405,34.729
-2.104,0.090,-0.065,-103.943,41.687,22.522
-2.053,-0.019,-0.080,-97.107,43.762,17.883
-2.109,-0.116,-0.143,-94.788,35.522,20.447
-2.193,-0.186,-0.186,-91.614,17.456,21.729
-2.256,-0.241,-0.170,-81.787,-3.784,16.602
-2.247,-0.272,-0.168,-73.059,-19.714,10.376
-2.219,-0.325,-0.188,-68.542,-32.593,6.897
-2.195,-0.370,-0.215,-64.148,-45.227,2.930
-2.176,-0.394,-0.238,-57.068,-56.030,-3.235
-2.139,-0.412,-0.257,-48.950,-62.500,-10.254
-2.079,-0.430,-0.292,-40.283,-65.552,-17.029
-2.003,-0.448,-0.323,-30.579,-68.420,-24.170
-1.911,-0.473,-0.348,-19.836,-73.792,-30.457
-1.824,-0.451,-0.340,-8.179,-82.825,-35.095
-1.780,-0.419,-0.323,3.235,-92.529,-37.781
-1.727,-0.358,-0.289,14.160,-99.243,-40.161
-1.683,-0.319,-0.227,23.499,-104.126,-43.030
-1.657,-0.264,-0.168,31.067,-108.521,-46.936
-1.613,-0.211,-0.124,38.208,-112.183,-53.406
-1.539,-0.154,-0.076,43.579,-114.990,-61.157
-1.462,-0.091,-0.047,46.997,-116.272,-68.176
-1.365,-0.042,-0.041,50.354,-115.601,-74.707
-1.249,0.005,-0.045,53.345,-114.441,-80.627
-1.137,0.036,-0.063,57.129,-113.525,-84.778
-1.066,0.089,-0.085,62.561,-114.746,-86.670
-1.008,0.151,-0.081,69.092,-118.347,-87.524
-0.928,0.190,-0.019,75.012,-121.887,-89.966
-0.835,0.247,0.048,80.261,-121.521,-92.590
-0.745,0.302,0.109,85.388,-119.019,-95.154
-0.648,0.357,0.171,87.341,-117.920,-97.473
-0.580,0.414,0.225,86.975,-119.141,-98.145
-0.508,0.470,0.262,85.144,-120.483,-98.511
